id_perfil,id_usuario,descricao,area_atuacao,experiencia
1,2,"Designer gráfico com foco em identidade visual.",Design,"5 anos de experiência em agências."
2,3,"Desenvolvedor web especializado em front-end.","Desenvolvimento Web","Mais de 4 anos com React e Vue."
3,6,"Tradutora profissional de inglês e espanhol.",Tradução,"7 anos trabalhando com agências internacionais."
4,8,"Especialista em SEO e SEM.","Marketing Digital","5 anos otimizando sites e campanhas."
5,10,"Fotógrafo profissional especializado em eventos.",Fotografia,"6 anos de experiência."
6,11,"Editor de vídeo para YouTube e redes sociais.","Edição de Vídeo","4 anos criando conteúdo para influenciadores."
7,12,"Consultora de imagem e estilo pessoal.","Consultoria de Imagem","7 anos ajudando clientes a se expressarem melhor."
8,13,"Gestora de redes sociais e engajamento.","Social Media","5 anos gerenciando perfis de empresas."
9,14,"Assistente virtual para pequenas empresas.",Administração,"3 anos organizando tarefas e agendas."
10,15,"Desenvolvedor de jogos independentes.","Desenvolvimento de Jogos","2 anos criando jogos para PC e mobile."
11,16,"Consultor financeiro para freelancers.","Consultoria Financeira","8 anos de experiência com finanças pessoais e profissionais."
12,17,"Coach de carreira e produtividade.",Coaching,"5 anos ajudando profissionais a alcançar seus objetivos."
13,9,"Desenvolvedora de aplicativos móveis.","Desenvolvimento Mobile","3 anos criando apps para Android e iOS."
14,7,"Consultora de marketing digital para pequenas empresas.",Marketing,"8 anos ajudando empresas a crescer online."
15,4,"Especialista em UX/UI Design.",Design,"5 anos em experiência do usuário."
